<A> has architected in how many cities?;SELECT DISTINCT COUNT(?uri) where { ?x dbo:architect <A> . ?x dbp:locationTown ?uri . ?uri a dbo:City }
<A> has created how many comics character ?;SELECT DISTINCT COUNT(?uri) where { ?uri dbp:creators <A> . ?uri a dbo:ComicsCharacter }
<B> is a work of <A>?;ASK where { <B> dbo:previousWork <A> }
By what style was <A> made?;SELECT DISTINCT ?uri where { <A> dbp:style ?uri }
Count the number of judges who've come on <A> shows.;SELECT DISTINCT COUNT(?uri) where { ?x dbo:network <A> . ?x dbp:judges ?uri }
Did <A> create <B>?;ASK where { <B> dbp:creators <A> }
Did <B> create <A>?;ASK where { <A> dbp:creators <B> }
Did <B> create the <A>?;ASK where { <A> dbp:creators <B> }
Did <B> design <A>?;ASK where { <A> dbo:designCompany <B> }
Did <B> originate in <A>?;ASK where { <B> dbp:stylisticOrigins <A> }
Did <B> originate in <A>?;ASK where { <B> dbo:stylisticOrigin <A> }
Does <B> belong to the genre <A>?;ASK where { <B> dbo:literaryGenre <A> }
Does <B> follow the architectural style of <A>?;ASK where { <B> dbp:architecture <A> }
Does the stylistic origins of <A> lie in the <B>?;ASK where { <A> dbp:stylisticOrigins <B> }
Give me a count of everything owned by the network whose sister name is <A>?;SELECT DISTINCT COUNT(?uri) where { ?x dbp:sisterNames <A> . ?uri dbp:network ?x }
Give me everything owned by networks which is lead by <A>?;SELECT DISTINCT COUNT(?uri) where { ?x dbo:keyPerson <A> . ?uri dbo:network ?x }
Give me the total number of architect of the buildings whose one of the  architect was <A>?;SELECT DISTINCT COUNT(?uri) where { ?x dbp:architect <A> . ?x dbp:architect ?uri }
How many architects are there who have made something used by <A>?;SELECT DISTINCT COUNT(?uri) where { ?x dbo:tenant <A> . ?x dbp:architect ?uri }
How many important things has the painter <A> done?;SELECT DISTINCT COUNT(?uri) where { <A> dbp:creator ?x . ?x dbo:notableWork ?uri }
How many important works have been done by <A>?;SELECT DISTINCT COUNT(?uri) where { <A> dbo:notableWork ?uri }
How many items belong to the <A> genre?;SELECT DISTINCT COUNT(?uri) where { ?uri dbp:genre <A> }
How many other architect are there of the historic places whose architect is also <A> ?;SELECT DISTINCT COUNT(?uri) where { ?x dbo:architect <A> . ?x dbo:architect ?uri }
How many people have parterned with the person choroegraphed by <A> in the past?;SELECT DISTINCT COUNT(?uri) where { ?x dbo:formerChoreographer <A> . ?x dbo:formerPartner ?uri . ?uri a dbo:Person }
How many things are aired on <A>?;SELECT DISTINCT COUNT(?uri) where { ?uri dbo:network <A> }
In how many different places can I fnd <A> buildings?;SELECT DISTINCT COUNT(?uri) where { ?x dbp:architecturalStyle <A> . ?x dbp:address ?uri }
In how many languages did <A> sing?;SELECT DISTINCT COUNT(?uri) where { ?x dbp:artist <A> . ?x dbp:language ?uri }
In which city are buildings by <A> found?;SELECT DISTINCT ?uri where { ?x dbo:architect <A> . ?x dbp:locationTown ?uri . ?x a dbo:Building }
Is <A> in <B>?;ASK where { <A> dbp:museum <B> }
Is <A> inspired from <B>?;ASK where { <A> dbo:stylisticOrigin <B> }
Is <A> the illustration by of <B>?;ASK where { <B> dbp:illustrator <A> }
Is <A> the museum of <B>?;ASK where { <B> dbp:museum <A> }
Is <A> the painter of <B>?;ASK where { <B> dbo:illustrator <A> }
Is <A> the previous work of <B>?;ASK where { <B> dbo:previousWork <A> }
Is <B> a kind of <A>?;ASK where { <B> dbp:design <A> }
Is <B> in the <A>?;ASK where { <B> dbp:museum <A> }
Is the <A> has the <B> architecture?;ASK where { <A> dbo:architecturalStyle <B> }
Is the <B> made in <A> style of architecture?;ASK where { <B> dbp:style <A> }
Is the <B> made in the <A> architectural style?;ASK where { <B> dbp:architecture <A> }
Is the <B> of the <A> style?;ASK where { <B> dbo:architecturalStyle <A> }
List the architect of the buildings whose one of the  architect is <A>?;SELECT DISTINCT ?uri where { ?x dbp:architect <A> . ?x dbp:architect ?uri . ?x a dbo:Building }
List the notable work of <A>?;SELECT DISTINCT ?uri where { <A> dbo:notableWork ?uri }
List the significant building of the architect who also designed  <A>?;SELECT DISTINCT ?uri where { ?x dbo:significantBuilding <A> . ?x dbo:significantBuilding ?uri . ?x a dbo:Architect }
List the significant buildings of the arch. whose one of the important work is <A> ?;SELECT DISTINCT ?uri where { ?x dbo:significantBuilding <A> . ?x dbo:significantBuilding ?uri . ?x a dbo:Architect }
List the work  edited by  <A> and directed by <B>?;SELECT DISTINCT ?uri where { ?uri dbp:editing <A> . ?uri dbo:director <B> . ?uri a dbo:Work }
Name the architect of <A> ?;SELECT DISTINCT ?uri where { <A> dbp:architect ?uri }
Name the common architecture of the <B> and <A> ?;SELECT DISTINCT ?uri where { <B> dbo:architecturalStyle ?uri . <A> dbo:architecturalStyle ?uri }
Name the fictional character painted by <B> and portrayed in <A> ?;SELECT DISTINCT ?uri where { ?uri dbo:creator <B> . ?uri dbo:portrayer <A> . ?uri a dbo:FictionalCharacter }
Name the fictional character who was in <A> and portrayer is <B>?;SELECT DISTINCT ?uri where { ?uri dbo:series <A> . ?uri dbo:portrayer <B> . ?uri a dbo:FictionalCharacter }
Was <A> animated by <B>?;ASK where { <A> dbo:animator <B> }
Was <A> animated by <B>?;ASK where { <A> dbo:animator <B> }
Was <A> covered by <B>?;ASK where { <A> dbp:coverArtist <B> }
Was <A> famous for playing the <B>?;ASK where { <A> dbp:notableInstruments <B> }
Was <B> illustrated by <A>?;ASK where { <B> dbp:illustrator <A> }
Was <B> released before <A>?;ASK where { <B> dbo:previousWork <A> }
was the <A> architectured by <B>?;ASK where { <A> dbo:architecturalStyle <B> }
Was the <A> drawn <B>?;ASK where { <A> dbp:illustrator <B> }
Was the cover of <A> designed by <B>?;ASK where { <A> dbo:coverArtist <B> }
What all has been created by <A>?;SELECT DISTINCT ?uri where { ?uri dbp:creators <A> }
What are some important works of <A> citizens?;SELECT DISTINCT ?uri where { ?x dbp:nationality <A> . ?x dbo:notableWork ?uri }
What are the important buildings of the architect whose one of the significant building is <A>?;SELECT DISTINCT ?uri where { ?x dbo:significantBuilding <A> . ?x dbo:significantBuilding ?uri . ?x a dbo:Architect }
What is common between genre of <A> and purpose of <B>;SELECT DISTINCT ?uri where { <A> dbp:genre ?uri . <B> dbp:purpose ?uri }
What is the architecture of <A> ?;SELECT DISTINCT ?uri where { <A> dbo:architecturalStyle ?uri }
What is the city nearest to the historic place whose architect is <A>?;SELECT DISTINCT ?uri where { ?x dbp:architect <A> . ?x dbo:nearestCity ?uri . ?x a dbo:HistoricPlace }
What is the game whose genre is <A>?;SELECT DISTINCT ?uri where { ?uri dbo:genre <A> . ?uri a dbo:Game }
What is the purpose of the <B> which is genere of <A>?;SELECT DISTINCT ?uri where { <B> dbp:purpose ?uri . <A> dbo:genre ?uri }
What is the resting place of the engineer who was the architect of <A>?;SELECT DISTINCT ?uri where { <A> dbo:architect ?x . ?x dbo:restingPlace ?uri }
What is the second track list of <A> ?;SELECT DISTINCT ?uri where { <A> dbo:subsequentWork ?uri }
What is the style of architecture of <A> ?;SELECT DISTINCT ?uri where { <A> dbo:architecturalStyle ?uri }
What is the style of architecture of <A> ?;SELECT DISTINCT ?uri where { <A> dbo:architecturalStyle ?uri }
What is the style of architecture of <A> ?;SELECT DISTINCT ?uri where { <A> dbo:architecturalStyle ?uri }
What is the stylistic origin of <A> ?;SELECT DISTINCT ?uri where { <A> dbo:stylisticOrigin ?uri }
What kind of buildings were designed by <A>?;SELECT DISTINCT ?uri where { ?x dbo:architect <A> . ?x dbo:type ?uri . ?x a dbo:Building }
What kind of games are made by <A>?;SELECT DISTINCT ?uri where { ?x dbo:publisher <A> . ?x dbp:genre ?uri . ?x a dbo:VideoGame }
What kind of games does <A> games develop?;SELECT DISTINCT ?uri where { ?x dbo:developer <A> . ?x dbo:genre ?uri . ?x a dbo:VideoGame }
What subjects does the subsequent work of <A> deals with  ?;SELECT DISTINCT ?uri where { <A> dbo:subsequentWork ?x . ?x dbp:subject ?uri }
What was created by <A> and <B>?;SELECT DISTINCT ?uri where { ?uri dbo:creator <A> . ?uri dbo:creator <B> }
What work has been directed by <A> and distributed by  <B>?;SELECT DISTINCT ?uri where { ?uri dbp:director <A> . ?uri dbp:distributor <B> . ?uri a dbo:Work }
What would be the most important creation which involved both <B> and <A> ?;SELECT DISTINCT ?uri where { <B> dbo:notableWork ?uri . <A> dbo:notableWork ?uri }
Whcih creator of <A> also created subsequent work of <B> ?;SELECT DISTINCT ?uri where { <B> dbo:subsequentWork ?uri . <A> dbp:creator ?uri }
Where can I find some buildings of <A>?;SELECT DISTINCT ?uri where { ?x dbp:architecturalStyle <A> . ?x dbp:address ?uri . ?x a dbo:Building }
Where did the genres originate which can found in <A>?;SELECT DISTINCT ?uri where { <A> dbp:genre ?x . ?x dbo:stylisticOrigin ?uri }
Where does the network cofounded by <A> air its shows?;SELECT DISTINCT ?uri where { ?x dbp:founder <A> . ?x dbp:broadcastArea ?uri . ?x a dbo:BroadcastNetwork }
Which <A> can be said as a <B>?;SELECT DISTINCT ?uri where { ?uri dbo:genre <A> . ?uri dbo:genre <B> }
Which architect of <A> was also tenant of <B> /';SELECT DISTINCT ?uri where { <A> dbp:architect ?uri . <B> dbo:tenant ?uri }
Which architect of the <B> is the branch of the <A>?;SELECT DISTINCT ?uri where { <B> dbp:architect ?uri . <A> dbp:branch ?uri }
Which are the comics characters painted by <B> and created by  <A>?;SELECT DISTINCT ?uri where { ?uri dbo:creator <B> . ?uri dbp:creators <A> . ?uri a dbo:ComicsCharacter }
Which awards did the creator of <A> won ?;SELECT DISTINCT ?uri where { <A> dbo:author ?x . ?x dbo:award ?uri . ?x a dbo:ComicsCreator }
Which comic characters are painted by <A>?;SELECT DISTINCT ?uri where { ?uri dbo:creator <A> . ?uri a dbo:ComicsCharacter }
Which comic characters were created by <A>?;SELECT DISTINCT ?uri where { ?uri dbp:creators <A> . ?uri a dbo:ComicsCharacter }
Which creation of <A> was portrayed in <B>;SELECT DISTINCT ?uri where { ?uri dbo:portrayer <B> . ?uri dbp:creator <A> }
Which director of <A> also released <B> ?;SELECT DISTINCT ?uri where { <B> dbp:artist ?uri . <A> dbp:director ?uri }
Which fictional character is portrayed by <A>?;SELECT DISTINCT ?uri where { ?uri dbp:portrayer <A> . ?uri a dbo:FictionalCharacter }
Which fictional character portrayed by <A> has <B> as family member ?;SELECT DISTINCT ?uri where { ?uri dbp:family <B> . ?uri dbp:portrayer <A> . ?uri a dbo:FictionalCharacter }
Which fictional character portrayed by <B> has <A> as family ?;SELECT DISTINCT ?uri where { ?uri dbp:portrayer <B> . ?uri dbp:family <A> . ?uri a dbo:FictionalCharacter }
Which fictional character portrayed in <B> is painted by <A>?;SELECT DISTINCT ?uri where { ?uri dbo:portrayer <B> . ?uri dbo:creator <A> . ?uri a dbo:FictionalCharacter }
