Count the awards given to the recepients of <A>.,SELECT DISTINCT COUNT(?uri) where { ?x dbo:award <A> . ?x dbp:awards ?uri }
Count the awards received by <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:fields <A> . ?x dbo:award ?uri . ?uri a dbo:Award }
Count the awards received by the ones who fought the <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:battle <A> . ?x dbo:award ?uri }
How many awards have <A> awardwinners got?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:awards <A> . ?x dbo:award ?uri . ?uri a dbo:Award }
How many awards have <A> won?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:occupation <A> . ?x dbo:award ?uri }
How many awards have been awarded to people who are buried in <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:restingPlace <A> . ?x dbo:award ?uri }
How many awards have been given to <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:occupation <A> . ?x dbp:awards ?uri }
How many awards have been given to the founder of <A>?,SELECT DISTINCT COUNT(?uri) where { <A> dbp:founder ?x . ?x dbo:award ?uri }
How many awards have been received by graduates of <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:training <A> . ?x dbo:award ?uri }
How many awards have the <A> received?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:stateOfOrigin <A> . ?x dbp:awards ?uri }
How many different people own the <A> award winners?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:awards <A> . ?x dbo:owner ?uri . ?uri a dbo:Person }
How many have been awarded by the <A>?,SELECT DISTINCT COUNT(?uri) where { ?uri dbp:awards <A> }
How many other awards have been given to people who have won the <A>,SELECT DISTINCT COUNT(?uri) where { ?x dbo:award <A> . ?x dbp:awards ?uri . ?uri a dbo:Award }
List the award which have been won by both <B> and <A> ?,SELECT DISTINCT ?uri where { <B> dbo:award ?uri . <A> dbo:award ?uri }
List the awards given to the important people of <A>?,SELECT DISTINCT ?uri where { <A> dbo:keyPerson ?x . ?x dbo:award ?uri }
List the awards given to the key people in <A> ?,SELECT DISTINCT ?uri where { <A> dbp:keyPeople ?x . ?x dbo:award ?uri }
List the awards won by the fashion designer which have been recognized by <A> ?,SELECT DISTINCT ?uri where { ?x dbo:award <A> . ?x dbo:award ?uri . ?x a dbo:FashionDesigner }
List the awards won by the spouse of <A>?,SELECT DISTINCT ?uri where { <A> dbo:partner ?x . ?x dbp:awards ?uri }
Name the award given in <A> and presented by <B> ?,SELECT DISTINCT ?uri where { ?uri dbo:presenter <B> . ?uri dbo:country <A> . ?uri a dbo:Award }
Name the awards won by <A> ?,SELECT DISTINCT ?uri where { <A> dbp:awards ?uri }
What are some awards given to the <A>?,SELECT DISTINCT ?uri where { ?x dbo:stateOfOrigin <A> . ?x dbp:awards ?uri }
What are the awards won by the parent of <A>?,SELECT DISTINCT ?uri where { <A> dbo:parent ?x . ?x dbp:awards ?uri }
What are the awards won by the person who wrote the screen <A> ?,SELECT DISTINCT ?uri where { <A> dbp:screenplay ?x . ?x dbp:awards ?uri }
What are the awards won by the spouse of <A> ?,SELECT DISTINCT ?uri where { <A> dbo:partner ?x . ?x dbp:awards ?uri }
What are the prizes awarded to the main members of <A>?,SELECT DISTINCT ?uri where { <A> dbo:keyPerson ?x . ?x dbo:award ?uri }
What award has been awarded to both <B> and <A>?,SELECT DISTINCT ?uri where { <B> dbo:award ?uri . <A> dbp:awards ?uri }
What award has been given to <A> as well as <B>?,SELECT DISTINCT ?uri where { <A> dbo:award ?uri . <B> dbo:award ?uri }
What awards did the founder of <A> win?,SELECT DISTINCT ?uri where { <A> dbp:founder ?x . ?x dbo:award ?uri }
What awards have been awarded both to <B> and <A>?,SELECT DISTINCT ?uri where { <B> dbp:awards ?uri . <A> dbo:award ?uri }
What awards have been given to <A>?,SELECT DISTINCT ?uri where { ?x dbp:occupation <A> . ?x dbp:awards ?uri }
what awards have been given to <A>?,SELECT DISTINCT ?uri where { <A> dbo:award ?uri }
What awards have been given to citizens of the <A>?,SELECT DISTINCT ?uri where { ?x dbo:citizenship <A> . ?x dbo:award ?uri }
What awards have been given to people schooled in the <A>,SELECT DISTINCT ?uri where { ?x dbp:education <A> . ?x dbp:awards ?uri . ?x a dbo:Person }
What awards have been given to some <A>?,SELECT DISTINCT ?uri where { ?x dbo:occupation <A> . ?x dbo:award ?uri }
What awards have been given to the dude who made <A>?,SELECT DISTINCT ?uri where { ?x dbp:notableworks <A> . ?x dbo:award ?uri . ?x a dbo:Person }
What awards have been once awarded to <B>comma and have employed the service of <A>?,SELECT DISTINCT ?uri where { <B> dbp:awards ?uri . <A> dbo:service ?uri }
What awards have the alumni of <A> achieved?,SELECT DISTINCT ?uri where { ?x dbo:training <A> . ?x dbo:award ?uri }
What awards have the narrator of the <A> won?,SELECT DISTINCT ?uri where { <A> dbo:narrator ?x . ?x dbp:awards ?uri }
What is that something which made <B> famouscomma and <A> received as an award?,SELECT DISTINCT ?uri where { <A> dbo:award ?uri . <B> dbp:knownFor ?uri }
What is the award presented by <B> and <A>?,SELECT DISTINCT ?uri where { ?uri dbp:presenter <B> . ?uri dbp:presenter <A> . ?uri a dbo:Award }
What is the award which is presented by <A>?,SELECT DISTINCT ?uri where { ?uri dbp:presenter <A> . ?uri a dbo:Award }
What is the common award won by <A> and <B>,SELECT DISTINCT ?uri where { <A> dbp:awards ?uri . <B> dbo:award ?uri }
What is the common award won by <A> and <B> ?,SELECT DISTINCT ?uri where { <A> dbp:awards ?uri . <B> dbo:service ?uri }
What is the prize awarded to <A> ?,SELECT DISTINCT ?uri where { <A> dbo:award ?uri }
What is the total number of awards whose presenter's headquarters is <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:headquarters <A> . ?uri dbo:presenter ?x . ?uri a dbo:Award }
What other awards have <A> winners received?,SELECT DISTINCT ?uri where { ?x dbo:award <A> . ?x dbp:awards ?uri }
What other awards have been given to <A> Winners?,SELECT DISTINCT ?uri where { ?x dbo:award <A> . ?x dbp:awards ?uri }
What other awards have been given to <A>?,SELECT DISTINCT ?uri where { ?x dbo:award <A> . ?x dbp:awards ?uri }
What were the awards won by the founder of <A> ?,SELECT DISTINCT ?uri where { <A> dbo:foundedBy ?x . ?x dbo:award ?uri }
Where are the <A> awardwinners buried?,SELECT DISTINCT ?uri where { ?x dbo:award <A> . ?x dbo:restingPlace ?uri }
Which award is presented by <A>?,SELECT DISTINCT ?uri where { ?uri dbp:presenter <A> . ?uri a dbo:Award }
Which award that has been given to <A>comma had used <B> for some service?,SELECT DISTINCT ?uri where { <B> dbo:service ?uri . <A> dbo:award ?uri }
Which awards are presented by <A>?,SELECT DISTINCT ?uri where { ?uri dbo:presenter <A> . ?uri a dbo:Award }
Which awards has been given to both <A> and <B>?,SELECT DISTINCT ?uri where { <A> dbp:awards ?uri . <B> dbp:awards ?uri }
Which awards have <A>ns won?,SELECT DISTINCT ?uri where { ?x dbo:ethnicity <A> . ?x dbp:awards ?uri }
Which awards have been given to <A>?,SELECT DISTINCT ?uri where { ?x dbp:fields <A> . ?x dbo:award ?uri }
Which awards have been given to both <B> and <A>?,SELECT DISTINCT ?uri where { <B> dbp:awards ?uri . <A> dbp:awards ?uri }
which awards have been given to people who fought in the <A>?,SELECT DISTINCT ?uri where { ?x dbo:battle <A> . ?x dbo:award ?uri . ?x a dbo:Person }
Which person won <B> award and has resting palce in <A> ?,SELECT DISTINCT ?uri where { ?uri dbp:restingPlace <A> . ?uri dbo:award <B> . ?uri a dbo:Person }
<A> acts as a game platform for how many things?,SELECT DISTINCT COUNT(?uri) where { ?uri dbo:computingPlatform <A> }
<A> designed video games written by whom?,SELECT DISTINCT ?uri where { ?x dbo:designer <A> . ?x dbp:writer ?uri . ?x a dbo:VideoGame }
<A> is the operating system of how many things?,SELECT DISTINCT COUNT(?uri) where { ?uri dbo:operatingSystem <A> }
<A> publishes which genre of games?,SELECT DISTINCT ?uri where { ?x dbp:publisher <A> . ?x dbo:genre ?uri . ?x a dbo:VideoGame }
Count the different genres of games published by <A>,SELECT DISTINCT COUNT(?uri) where { ?x dbp:publisher <A> . ?x dbo:genre ?uri }
Count the number of software which runs on <A> and <B> ?,SELECT DISTINCT COUNT(?uri) where { ?uri dbo:operatingSystem <A> . ?uri dbo:operatingSystem <B> }
Count the total number of software whose programming language is <B> and operating system is <A>?,SELECT DISTINCT COUNT(?uri) where { ?uri dbp:programmingLanguage <B> . ?uri dbo:operatingSystem <A> }
Did <A> has the <B> OS?,ASK where { <A> dbp:os <B> }
Games on <A> are typically of what kind?,SELECT DISTINCT ?uri where { ?x dbo:computingPlatform <A> . ?x dbp:genre ?uri . ?x a dbo:VideoGame }
Give me a list of computers whose CPU is in the <A>.,SELECT DISTINCT ?uri where { ?x dbp:locationCity <A> . ?uri dbo:cpu ?x . ?uri a dbo:InformationAppliance }
Give me some softwares which run on <A>,SELECT DISTINCT ?uri where { ?uri dbo:operatingSystem <A> . ?uri a dbo:Software }
How many companies have developed <A> softwares?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:operatingSystem <A> . ?x dbo:developer ?uri }
How many developers have games where I can hear <A>?,SELECT DISTINCT COUNT(?uri) where { <A> dbo:voice ?x . ?x dbo:developer ?uri }
How many developers have worked on games of the <A> series?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:series <A> . ?x dbo:developer ?uri }
How many developers make softwares for <A> operating systems?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:operatingSystem <A> . ?x dbo:developer ?uri }
How many developers were involved in creating games whose score is composed by <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:composer <A> . ?x dbo:developer ?uri }
How many different genres of games are produced by <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:developer <A> . ?x dbp:genre ?uri }
How many different genres of games can I find which are compatible with the <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:computingPlatform <A> . ?x dbp:genre ?uri }
How many different kinds of games are published by <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:publisher <A> . ?x dbp:genre ?uri }
How many different kinds of softwares have been released under the <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:license <A> . ?x dbo:genre ?uri }
How many game series exist for <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:computingPlatform <A> . ?x dbo:series ?uri }
How many games are released for <A>?,SELECT DISTINCT COUNT(?uri) where { ?uri dbo:computingPlatform <A> . ?uri a dbo:VideoGame }
How many games have a composer who worked for the <A>,SELECT DISTINCT COUNT(?uri) where { ?x dbo:occupation <A> . ?uri dbp:composer ?x . ?uri a dbo:VideoGame }
How many games have a publisher based in <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:location <A> . ?uri dbo:publisher ?x . ?uri a dbo:VideoGame }
How many games have been composed by <A>?,SELECT DISTINCT COUNT(?uri) where { ?uri dbp:composer <A> . ?uri a dbo:VideoGame }
How many genres of games can I find on the <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:computingPlatform <A> . ?x dbo:genre ?uri }
How many kinds of games can be played on the <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:computingPlatform <A> . ?x dbp:genre ?uri }
How many software run on operating system is <A>?,SELECT DISTINCT COUNT(?uri) where { ?uri dbo:operatingSystem <A> . ?uri a dbo:Software }
Is <A> released with a <B> license?,ASK where { <A> dbo:license <B> }
Is <A> the OS <B>?,ASK where { <B> dbp:os <A> }
Is <B> licensed under <A> license?,ASK where { <B> dbo:license <A> }
List common systems are developed by of the <A> and written by of the <B> ?,SELECT DISTINCT ?uri where { <A> dbp:developer ?uri . <B> dbo:author ?uri }
List everything written in languages developed by <A>?,SELECT DISTINCT ?uri where { ?x dbo:author <A> . ?uri dbp:programmingLanguage ?x . ?uri a dbo:Work }
List softwares written in <B> and runs on <A> ?,SELECT DISTINCT ?uri where { ?uri dbo:operatingSystem <A> . ?uri dbo:programmingLanguage <B> . ?uri a dbo:Software }
list the  software which works on both the OS  - <A> and <B> ?,SELECT DISTINCT ?uri where { ?uri dbo:operatingSystem <A> . ?uri dbo:operatingSystem <B> }
List the developers who has contributed to both <B> and <A> ?,SELECT DISTINCT ?uri where { <B> dbo:developer ?uri . <A> dbo:developer ?uri }
List the software developed by <A> ?,SELECT DISTINCT ?uri where { ?uri dbo:developer <A> . ?uri a dbo:Software }
List the software using <B> as programming language and licence is <A>?,SELECT DISTINCT ?uri where { ?uri dbp:programmingLanguage <B> . ?uri dbo:license <A> . ?uri a dbo:Software }
List the software which uses <A> as their operating system ?,SELECT DISTINCT ?uri where { ?uri dbo:operatingSystem <A> . ?uri a dbo:Software }
List the softwares which runs on <A> and has license as <B>?,SELECT DISTINCT ?uri where { ?uri dbo:operatingSystem <A> . ?uri dbo:license <B> . ?uri a dbo:Software }
List things developed by <A> ?,SELECT DISTINCT ?uri where { <A> dbo:developer ?uri }
Name the appliance produced by <B> and its OS is provided by <A> ?,SELECT DISTINCT ?uri where { ?uri dbo:manufacturer <B> . ?uri dbp:os <A> . ?uri a dbo:InformationAppliance }
Name the organization which developed <B> and the <A>?,SELECT DISTINCT ?uri where { <B> dbp:developer ?uri . <A> dbo:developer ?uri }
