does <A> have more episodes than <B>?;ask where { <A> dbo:numberOfEpisodes ?a . <B> dbo:numberOfEpisodes ?b . filter (?a > ?b) }
does the new <A> series have more episodes than the old one?;ask where { <A> rdfs:label ?l . ?a rdf:type dbo:TelevisionShow . ?a foaf:name ?l . ?a dbo:completionDate ?ad . ?a dbo:numberOfEpisodes ?an . ?b rdf:type dbo:TelevisionShow . ?b foaf:name ?l . ?b dbo:completionDate ?bd . ?b dbo:numberOfEpisodes ?bn . filter(?ad > ?bd && ?an > ?bn) }
for which label did <A> record his first <B>?;select ?a where { ?b rdf:type <B> . ?b dbo:artist <A> . ?b dbo:releaseDate ?c . ?b dbo:recordLabel ?a } order by ?c offset 0 limit 1
for which label did <A> record his second <B>?;select ?a where { ?b rdf:type <B> . ?b dbo:artist <A> . ?b dbo:releaseDate ?c . ?b dbo:recordLabel ?a } order by ?c offset 1 limit 1
give me all <A> <B> record labels.;select distinct ?uri where { ?uri rdf:type dbo:RecordLabel . ?uri dbo:genre <B>. ?uri dbo:country <A>. }
give me all actors;select ?a where { [] dbo:starring ?a }
give me all actors starring in <A>;select ?a where { <A> dbo:starring ?a }
give me all actors starring in movies directed by <A>;select distinct ?uri where { ?uri dbo:starring ?x . ?uri dbo:director <A> }
give me all books by <A> with more than 300 pages.;select distinct ?uri where { ?uri rdf:type dbo:Book . ?uri dbo:author <A> . ?uri dbo:numberOfPages ?x . filter (?x > 300) }
give me all members of <A>;select distinct ?uri where { <A> dbo:bandMember ?uri . }
give me all movies directed by <A>;select distinct ?uri where { ?uri rdf:type dbo:Film . ?uri dbo:director <A> }
give me the new <A> series;describe ?a where { <A> rdfs:label ?l . ?a a dbo:TelevisionShow . ?a foaf:name ?l . ?a dbo:completionDate ?ad } order by desc(?ad) limit 1
how many pages does <A> have?;select distinct ?n where { <A> dbo:numberOfPages ?n . }
how much did <A> cost?;select distinct ?n where { <A> dbo:budget ?n . }
in which films did <A> as well as <B> play?;select distinct ?uri where { ?uri rdf:type dbo:Film . ?uri dbo:starring <A> . ?uri dbo:starring <B> }
is <A> starring in <B>?;ask where { <A> dbo:starring <B> . }
list all episodes of the first season of the <A> television series <B>!;select distinct ?uri where { ?uri dbo:series <B> . ?uri dbo:seasonNumber 1 . <B> dbo:network <A> }
list all the musicals with music by <A>.;select distinct ?uri where { ?uri rdf:type dbo:Musical . ?uri dbo:musicBy <A> . }
show me <A>â€™s autobiography ;select distinct ?uri where { ?uri dbo:author <A> . ?uri dbo:literaryGenre dbr:Autobiography. }
show me all books in <A> series.;select distinct ?uri where { ?uri dbo:series <A>.  ?uri rdf:type dbo:Book}
show me the book that <A> wrote.;select distinct ?uri where { ?uri rdf:type dbo:Book . ?uri dbo:author <A>. }
to which artistic movement did the artist of the <A> belong?;select distinct ?uri where { <A> dbo:author ?person . ?person dbo:movement ?uri . ?person rdf:type dbo:Artist }
what is <A>â€™s real name?;select distinct ?s where { <A> dbp:alterEgo ?s . }
